Date,Open,High,Low,Close,Adj Close,Volume
2003-08-25,99.889999,99.940002,99.349998,99.900002,73.555588,84600
2003-08-26,99.629997,100.349998,98.980003,100.209999,73.783836,111400
2003-08-27,100.129997,100.339996,99.940002,100.220001,73.791199,242200
2003-08-28,100.529999,101.019997,99.769997,100.760002,74.188774,143500
2003-08-29,100.680000,101.489998,100.559998,101.330002,74.608513,222700
2003-09-02,101.800003,102.910004,101.129997,102.910004,75.771820,735600
2003-09-03,103.070000,103.570000,102.849998,103.389999,76.125229,773200
2003-09-04,103.199997,103.570000,102.800003,103.500000,76.206261,156300
2003-09-05,103.019997,103.519997,102.489998,102.949997,75.801277,120700
2003-09-08,103.169998,103.919998,103.150002,103.750000,76.390297,151800
2003-09-09,103.449997,103.489998,102.760002,102.989998,75.830750,198600
2003-09-10,102.690002,102.769997,101.589996,102.070000,75.153320,215500
2003-09-11,102.290001,102.790001,101.930000,102.239998,75.278496,1175000
2003-09-12,102.070000,102.650002,101.419998,102.570000,75.521484,179600
2003-09-15,102.279999,102.279999,101.580002,101.720001,75.204353,197400
2003-09-16,101.949997,103.269997,101.949997,103.220001,76.313316,168600
2003-09-17,103.169998,103.440002,102.699997,103.029999,76.172821,388800
2003-09-18,103.080002,104.349998,102.900002,104.230003,77.060020,128600
2003-09-19,104.260002,104.260002,103.500000,103.750000,76.705132,458200
2003-09-22,102.870003,102.949997,102.070000,102.620003,75.869713,214100
2003-09-23,102.779999,103.330002,102.400002,103.029999,76.172821,209700
2003-09-24,103.199997,103.239998,101.150002,101.150002,74.782944,710800
2003-09-25,101.550003,101.919998,100.290001,100.290001,74.147087,182500
2003-09-26,100.489998,100.709999,99.940002,99.989998,73.925285,1004600
2003-09-29,100.379997,100.989998,99.820000,100.930000,74.620270,208800
2003-09-30,100.550003,100.570000,99.260002,99.900002,73.858742,1169400
2003-10-01,100.199997,102.089996,100.199997,102.080002,75.470459,291100
2003-10-02,101.980003,102.540001,101.809998,102.489998,75.773621,170800
2003-10-03,103.660004,104.309998,103.260002,103.400002,76.446419,331700
2003-10-06,103.510002,104.000000,103.290001,103.900002,76.816078,86600
2003-10-07,103.190002,104.279999,102.919998,104.279999,77.096985,249800
2003-10-08,104.379997,104.379997,103.470001,104.010002,76.897369,291800
2003-10-09,104.860001,105.190002,103.970001,104.360001,77.156158,1907000
2003-10-10,104.360001,104.489998,104.000000,104.260002,77.082199,306100
2003-10-13,104.800003,105.320000,104.620003,105.000000,77.629295,418800
2003-10-14,104.889999,105.330002,104.480003,105.330002,77.873306,128900
2003-10-15,105.769997,105.879997,104.699997,105.019997,77.644089,206800
2003-10-16,104.919998,105.669998,104.790001,105.500000,77.998985,154800
2003-10-17,105.559998,105.559998,104.050003,104.330002,77.133965,163400
2003-10-20,104.559998,105.040001,103.989998,105.040001,77.658882,110200
2003-10-21,104.889999,105.290001,104.660004,104.949997,77.592331,127700
2003-10-22,103.980003,104.199997,103.199997,103.620003,76.609039,261500
2003-10-23,103.139999,103.910004,102.919998,103.370003,76.424187,233500
2003-10-24,102.940002,103.580002,102.239998,103.580002,76.579483,255100
2003-10-27,103.669998,104.180000,103.300003,103.629997,76.616440,1805400
2003-10-28,103.839996,105.050003,103.800003,105.010002,77.636696,150900
2003-10-29,104.690002,105.379997,104.690002,105.239998,77.806763,651100
2003-10-30,105.820000,105.820000,104.849998,105.459999,77.969383,289500
2003-10-31,105.410004,105.750000,105.269997,105.300003,77.851112,505700
2003-11-03,105.919998,106.669998,105.800003,106.029999,78.390816,202200
2003-11-04,106.029999,106.269997,105.589996,105.760002,78.191200,299100
2003-11-05,105.580002,105.970001,104.989998,105.919998,78.309486,204800
2003-11-06,105.510002,106.500000,105.180000,106.500000,78.738297,156700
2003-11-07,106.709999,106.739998,105.699997,105.699997,78.146843,312800
2003-11-10,105.849998,105.860001,105.019997,105.279999,77.836334,161500
2003-11-11,105.050003,105.360001,104.870003,105.099998,77.703224,131700
2003-11-12,105.370003,106.449997,105.260002,106.339996,78.620026,110000
2003-11-13,106.099998,106.570000,105.849998,106.449997,78.701324,274500
2003-11-14,106.500000,106.910004,105.389999,105.519997,78.013763,449900
2003-11-17,104.910004,105.150002,104.099998,105.000000,77.629295,248100
2003-11-18,105.199997,105.480003,103.900002,103.930000,76.838203,172700
2003-11-19,104.160004,105.029999,104.000000,104.820000,77.496223,192300
2003-11-20,104.089996,105.279999,103.879997,103.879997,76.801277,184200
2003-11-21,104.379997,104.379997,103.739998,104.320000,77.126579,135200
2003-11-24,104.849998,105.800003,104.769997,105.559998,78.043343,185200
2003-11-25,105.709999,106.430000,105.550003,106.029999,78.390816,349900
2003-11-26,106.419998,106.480003,105.489998,106.400002,78.664352,239500
2003-11-28,106.379997,106.699997,106.300003,106.580002,78.797432,465300
2003-12-01,106.989998,107.739998,106.860001,107.629997,79.573746,859900
2003-12-02,107.449997,107.779999,107.199997,107.400002,79.403671,220800
2003-12-03,107.790001,108.099998,107.199997,107.239998,79.285400,299400
2003-12-04,107.199997,107.739998,107.040001,107.620003,79.566368,571400
